time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000032,0.300006
0.010000,0.000053,0.300017
0.015000,0.000094,0.300041
0.020000,0.000164,0.300063
0.025000,0.000254,0.300106
0.030000,0.000301,0.300140
0.035000,0.000366,0.300201
0.040000,0.000386,0.300247
0.045000,0.000437,0.300325
0.050000,0.000455,0.300384
0.055000,0.000496,0.300480
0.060000,0.000686,0.300551
0.065000,0.000785,0.300665
0.070000,0.000778,0.300748
0.075000,0.000882,0.300880
0.080000,0.000735,0.300975
0.085000,0.000822,0.301125
0.090000,0.000790,0.301231
0.095000,0.000946,0.301400
0.100000,0.001059,0.301518
0.105000,0.030241,0.299360
0.110000,0.030385,0.299425
0.115000,0.030599,0.299527
0.120000,0.030766,0.299598
0.125000,0.031005,0.299709
0.130000,0.031159,0.299786
0.135000,0.031420,0.299906
0.140000,0.031603,0.299989
0.145000,0.031916,0.300118
0.150000,0.032131,0.300207
0.155000,0.032459,0.300345
0.160000,0.032627,0.300441
0.165000,0.032989,0.300588
0.170000,0.033255,0.300689
0.175000,0.033600,0.300845
0.180000,0.033877,0.300952
0.185000,0.034313,0.301118
0.190000,0.034685,0.301231
0.195000,0.035156,0.301405
0.200000,0.035522,0.301524
0.205000,0.019807,0.299155
0.210000,0.020286,0.299238
0.215000,0.021019,0.299365
0.220000,0.021521,0.299452
0.225000,0.022308,0.299586
0.230000,0.022855,0.299677
0.235000,0.023670,0.299816
0.240000,0.024233,0.299911
0.245000,0.025074,0.300056
0.250000,0.025599,0.300155
0.255000,0.026452,0.300307
0.260000,0.026988,0.300410
0.265000,0.027782,0.300568
0.270000,0.028340,0.300675
0.275000,0.029128,0.300839
0.280000,0.029692,0.300950
0.285000,0.030522,0.301120
0.290000,0.031081,0.301235
0.295000,0.031949,0.301411
0.300000,0.032509,0.301530
0.305000,0.040603,0.299061
0.310000,0.041177,0.299153
0.314999,0.042032,0.299292
0.319999,0.042612,0.299387
0.324999,0.043477,0.299531
0.329999,0.044057,0.299628
0.334999,0.044915,0.299777
0.339999,0.045490,0.299878
0.344999,0.046328,0.300031
0.349999,0.046877,0.300135
0.354999,0.047652,0.300293
0.359999,0.048154,0.300399
0.364999,0.048927,0.300562
0.369999,0.049411,0.300672
0.374999,0.050141,0.300839
0.379999,0.050628,0.300952
0.384999,0.051320,0.301124
0.389999,0.051776,0.301240
0.394998,0.052444,0.301416
0.399998,0.052876,0.301536
0.404998,0.049244,0.299011
0.409998,0.049794,0.299108
0.414998,0.050625,0.299254
0.419998,0.051176,0.299353
0.424998,0.051995,0.299503
0.429998,0.052530,0.299604
0.434998,0.053308,0.299758
0.439998,0.053824,0.299862
0.444998,0.054594,0.300020
0.449998,0.055081,0.300126
0.454998,0.055824,0.300287
0.459998,0.056334,0.300396
0.464998,0.057104,0.300561
0.469997,0.057656,0.300673
0.474997,0.058435,0.300842
0.479997,0.059033,0.300956
0.484997,0.059910,0.301129
0.489997,0.060454,0.301245
0.494997,0.061311,0.301422
0.499997,0.061896,0.301541
0.504997,0.050695,0.298983
0.509997,0.050901,0.299082
0.514997,0.051209,0.299233
0.519997,0.051392,0.299334
0.524997,0.051683,0.299488
0.529997,0.051884,0.299592
0.534997,0.052181,0.299749
0.539997,0.052389,0.299855
0.544997,0.052738,0.300015
0.549996,0.052967,0.300123
0.554996,0.053316,0.300287
0.559996,0.053574,0.300397
0.564996,0.053910,0.300564
0.569996,0.054080,0.300676
0.574996,0.054327,0.300846
0.579996,0.054490,0.300961
0.584996,0.054757,0.301134
0.589996,0.054913,0.301251
0.594996,0.055197,0.301427
0.599996,0.055366,0.301546
0.604996,0.056521,0.298966
0.609996,0.056773,0.299068
0.614996,0.057154,0.299221
0.619996,0.057418,0.299325
0.624996,0.057867,0.299481
0.629995,0.058178,0.299586
0.634995,0.058631,0.299746
0.639995,0.058931,0.299853
0.644995,0.059409,0.300015
0.649995,0.059751,0.300124
0.654995,0.060225,0.300289
0.659995,0.060546,0.300400
0.664995,0.061028,0.300567
0.669995,0.061326,0.300680
0.674995,0.061812,0.300851
0.679995,0.062045,0.300966
0.684995,0.062514,0.301139
0.689995,0.062944,0.301256
0.694995,0.063432,0.301432
0.699995,0.063640,0.301551
0.704994,0.039472,0.298958
0.709994,0.039330,0.299060
0.714994,0.039457,0.299216
0.719994,0.039566,0.299320
0.724994,0.039683,0.299478
0.729994,0.039765,0.299585
0.734994,0.039846,0.299745
0.739994,0.039901,0.299853
0.744994,0.040008,0.300016
0.749994,0.040081,0.300126
0.754994,0.040191,0.300292
0.759994,0.040273,0.300403
0.764994,0.040359,0.300572
0.769994,0.040493,0.300685
0.774994,0.040631,0.300856
0.779994,0.040742,0.300971
0.784993,0.040883,0.301144
0.789993,0.040879,0.301261
0.794993,0.041001,0.301437
0.799993,0.040955,0.301556
0.804993,0.075294,0.298953
0.809993,0.075576,0.299057
0.814993,0.076285,0.299214
0.819993,0.076579,0.299319
0.824993,0.077291,0.299478
0.829993,0.077806,0.299585
0.834993,0.078485,0.299747
0.839993,0.078922,0.299855
0.844993,0.079563,0.300019
0.849993,0.080006,0.300130
0.854993,0.080686,0.300296
0.859993,0.081085,0.300408
0.864992,0.081737,0.300576
0.869992,0.082152,0.300690
0.874992,0.082812,0.300861
0.879992,0.083262,0.300976
0.884992,0.083901,0.301150
0.889992,0.084293,0.301266
0.894992,0.084929,0.301442
0.899992,0.085431,0.301560
0.904992,0.085482,0.298952
0.909992,0.085954,0.299057
0.914992,0.086569,0.299214
0.919992,0.086981,0.299320
0.924992,0.087621,0.299480
0.929992,0.088047,0.299588
0.934992,0.088651,0.299750
0.939991,0.089063,0.299859
0.944991,0.089682,0.300023
0.949991,0.090074,0.300134
0.954991,0.090619,0.300300
0.959991,0.090895,0.300412
0.964991,0.091383,0.300581
0.969991,0.091719,0.300695
0.974991,0.092191,0.300866
0.979991,0.092529,0.300981
0.984991,0.092992,0.301155
0.989991,0.093231,0.301271
0.994991,0.093650,0.301447
0.999991,0.094055,0.301565
1.004991,0.107757,0.298953
1.009991,0.108211,0.299058
1.014991,0.108834,0.299216
1.019992,0.109201,0.299323
1.024992,0.109827,0.299483
1.029992,0.110223,0.299591
1.034992,0.110786,0.299754
1.039993,0.111163,0.299863
1.044993,0.111760,0.300028
1.049993,0.112141,0.300138
1.054993,0.112729,0.300305
1.059994,0.113126,0.300417
1.064994,0.113719,0.300586
1.069994,0.114017,0.300700
1.074994,0.114568,0.300871
1.079994,0.114972,0.300986
1.084995,0.115514,0.301159
1.089995,0.115808,0.301276
1.094995,0.116296,0.301451
1.099995,0.116580,0.301569
1.104996,0.126082,0.298955
1.109996,0.126141,0.299061
1.114996,0.126481,0.299219
1.119996,0.126746,0.299326
1.124997,0.127136,0.299487
1.129997,0.127423,0.299595
1.134997,0.127887,0.299758
1.139997,0.128181,0.299867
1.144997,0.128614,0.300032
1.149998,0.128860,0.300143
1.154998,0.129252,0.300310
1.159998,0.129475,0.300422
1.164998,0.129885,0.300591
1.169999,0.130157,0.300704
1.174999,0.130589,0.300876
1.179999,0.130854,0.300990
1.184999,0.131257,0.301164
1.190000,0.131341,0.301280
1.195000,0.131673,0.301455
1.200000,0.131940,0.301573
1.205000,0.124012,0.298958
1.210001,0.124536,0.299064
1.215001,0.125074,0.299223
1.220001,0.125378,0.299330
1.225001,0.125898,0.299491
1.230001,0.126250,0.299599
1.235002,0.126718,0.299762
1.240002,0.127014,0.299872
1.245002,0.127548,0.300037
1.250002,0.127924,0.300147
1.255003,0.128491,0.300315
1.260003,0.128923,0.300427
1.265003,0.129508,0.300596
1.270003,0.129747,0.300709
1.275004,0.130325,0.300880
1.280004,0.130665,0.300995
1.285004,0.131266,0.301168
1.290004,0.131637,0.301284
1.295004,0.132205,0.301459
1.300005,0.132553,0.301577
1.305005,0.110393,0.298962
1.310005,0.110408,0.299068
1.315005,0.110448,0.299227
1.320006,0.110462,0.299334
1.325006,0.110462,0.299495
1.330006,0.110443,0.299604
1.335006,0.110414,0.299767
1.340007,0.110390,0.299876
1.345007,0.110319,0.300041
1.350007,0.110248,0.300152
1.355007,0.110168,0.300319
1.360008,0.110079,0.300431
1.365008,0.109939,0.300600
1.370008,0.109820,0.300714
1.375008,0.109654,0.300885
1.380008,0.109527,0.300999
1.385009,0.109334,0.301172
1.390009,0.109231,0.301288
1.395009,0.109082,0.301463
1.400009,0.108962,0.301581
1.405010,0.110827,0.298966
1.410010,0.110709,0.299072
1.415010,0.110581,0.299232
1.420010,0.110568,0.299339
1.425011,0.110403,0.299500
1.430011,0.110273,0.299608
1.435011,0.110137,0.299771
1.440011,0.110043,0.299881
1.445011,0.109886,0.300046
1.450012,0.109731,0.300157
1.455012,0.109541,0.300324
1.460012,0.109372,0.300436
1.465012,0.109149,0.300605
1.470013,0.108813,0.300718
1.475013,0.108530,0.300889
1.480013,0.108281,0.301004
1.485013,0.107997,0.301176
1.490014,0.107917,0.301292
1.495014,0.107652,0.301467
1.500014,0.107557,0.301584
1.505014,0.138894,0.298971
1.510015,0.139143,0.299076
1.515015,0.139521,0.299236
1.520015,0.139858,0.299343
1.525015,0.140161,0.299504
1.530015,0.140311,0.299613
1.535016,0.140637,0.299776
1.540016,0.140866,0.299885
1.545016,0.141225,0.300051
1.550016,0.141464,0.300161
1.555017,0.141810,0.300328
1.560017,0.141863,0.300440
1.565017,0.142130,0.300609
1.570017,0.142466,0.300722
1.575018,0.142755,0.300893
1.580018,0.142826,0.301007
1.585018,0.143035,0.301180
1.590018,0.143140,0.301296
1.595019,0.143324,0.301470
1.600019,0.143602,0.301587
1.605019,0.170450,0.298975
1.610019,0.171083,0.299081
1.615019,0.172067,0.299240
1.620020,0.172727,0.299347
1.625020,0.173686,0.299509
1.630020,0.174334,0.299617
1.635020,0.175307,0.299780
1.640021,0.175962,0.299890
1.645021,0.176926,0.300055
1.650021,0.177533,0.300165
1.655021,0.178426,0.300332
1.660022,0.178923,0.300444
1.665022,0.179703,0.300613
1.670022,0.180249,0.300726
1.675022,0.181041,0.300897
1.680022,0.181659,0.301011
1.685023,0.182518,0.301184
1.690023,0.183064,0.301299
1.695023,0.183930,0.301474
1.700023,0.184540,0.301591
1.705024,0.172570,0.298979
1.710024,0.172946,0.299085
1.715024,0.173544,0.299245
1.720024,0.173947,0.299352
1.725025,0.174540,0.299513
1.730025,0.174925,0.299621
1.735025,0.175467,0.299785
1.740025,0.175838,0.299894
1.745026,0.176383,0.300059
1.750026,0.176722,0.300170
1.755026,0.177218,0.300336
1.760026,0.177542,0.300448
1.765026,0.178060,0.300617
1.770027,0.178414,0.300730
1.775027,0.178900,0.300900
1.780027,0.179235,0.301015
1.785027,0.179713,0.301187
1.790028,0.180074,0.301303
1.795028,0.180557,0.301477
1.800028,0.180821,0.301594
1.805028,0.164007,0.298984
1.810029,0.164284,0.299089
1.815029,0.164777,0.299249
1.820029,0.165078,0.299356
1.825029,0.165487,0.299517
1.830029,0.165720,0.299625
1.835030,0.166017,0.299789
1.840030,0.166197,0.299898
1.845030,0.166444,0.300063
1.850030,0.166562,0.300173
1.855031,0.166775,0.300340
1.860031,0.166948,0.300452
1.865031,0.167158,0.300620
1.870031,0.167258,0.300733
1.875032,0.167418,0.300904
1.880032,0.167430,0.301018
1.885032,0.167516,0.301190
1.890032,0.167513,0.301306
1.895033,0.167611,0.301480
1.900033,0.167682,0.301596
1.905033,0.155447,0.298988
1.910033,0.155125,0.299093
1.915033,0.154955,0.299253
1.920034,0.154836,0.299360
1.925034,0.154632,0.299521
1.930034,0.154474,0.299629
1.935034,0.154220,0.299792
1.940035,0.154053,0.299902
1.945035,0.153808,0.300067
1.950035,0.153662,0.300177
1.955035,0.153381,0.300344
1.960036,0.153125,0.300455
1.965036,0.152801,0.300624
1.970036,0.152533,0.300737
1.975036,0.152152,0.300907
1.980036,0.151727,0.301021
1.985037,0.151272,0.301193
1.990037,0.151178,0.301309
1.995037,0.150732,0.301482
2.000037,0.150254,0.301599
2.005037,0.179292,0.298992
2.010037,0.179137,0.299097
2.015036,0.178768,0.299257
2.020036,0.178466,0.299364
2.025036,0.178060,0.299525
2.030035,0.177769,0.299633
2.035035,0.177319,0.299796
2.040035,0.177012,0.299905
2.045034,0.176548,0.300070
2.050034,0.176255,0.300181
2.055033,0.175785,0.300347
2.060033,0.175448,0.300459
2.065033,0.174949,0.300627
2.070032,0.174696,0.300740
2.075032,0.174222,0.300910
2.080032,0.173967,0.301024
2.085031,0.173522,0.301196
2.090031,0.173168,0.301311
2.095031,0.172722,0.301485
2.100030,0.172489,0.301602
2.105030,0.149647,0.298995
2.110029,0.149862,0.299101
2.115029,0.150218,0.299261
2.120029,0.150511,0.299367
2.125028,0.150873,0.299529
2.130028,0.151119,0.299637
2.135028,0.151450,0.299800
2.140027,0.151700,0.299909
2.145027,0.152042,0.300074
2.150027,0.152294,0.300184
2.155026,0.152642,0.300350
2.160026,0.152867,0.300462
2.165025,0.153218,0.300630
2.170025,0.153613,0.300743
2.175025,0.154027,0.300913
2.180024,0.154098,0.301027
2.185024,0.154446,0.301199
2.190024,0.154593,0.301314
2.195023,0.154908,0.301488
2.200023,0.155306,0.301604
2.205023,0.176188,0.298999
2.210022,0.176199,0.299105
2.215022,0.176350,0.299264
2.220021,0.176487,0.299371
2.225021,0.176610,0.299532
2.230021,0.176646,0.299640
2.235020,0.176773,0.299803
2.240020,0.176834,0.299912
2.245020,0.176946,0.300077
2.250019,0.177056,0.300187
2.255019,0.177193,0.300353
2.260019,0.177353,0.300465
2.265018,0.177490,0.300633
2.270018,0.177560,0.300746
2.275017,0.177724,0.300916
2.280017,0.177735,0.301030
2.285017,0.177868,0.301201
2.290016,0.177896,0.301316
2.295016,0.177989,0.301490
2.300016,0.178123,0.301606
2.305015,0.214313,0.299003
2.310015,0.214597,0.299108
2.315015,0.214825,0.299268
2.320014,0.215008,0.299374
2.325014,0.215230,0.299535
2.330014,0.215362,0.299643
2.335013,0.215581,0.299806
2.340013,0.215714,0.299915
2.345012,0.215882,0.300080
2.350012,0.215966,0.300190
2.355012,0.216113,0.300356
2.360011,0.216235,0.300468
2.365011,0.216362,0.300636
2.370011,0.216391,0.300748
2.375010,0.216477,0.300918
2.380010,0.216599,0.301032
2.385010,0.216683,0.301204
2.390009,0.216960,0.301319
2.395009,0.217082,0.301492
2.400008,0.217159,0.301608
2.405008,0.219182,0.299006
2.410008,0.219411,0.299111
2.415007,0.219739,0.299271
2.420007,0.220007,0.299377
2.425007,0.220250,0.299538
2.430006,0.220375,0.299646
2.435006,0.220617,0.299809
2.440006,0.220786,0.299918
2.445005,0.221016,0.300083
2.450005,0.221067,0.300193
2.455004,0.221219,0.300359
2.460004,0.221389,0.300470
